Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Democratic Republic of the Congo,0.153,0.086,-0.353,0.151,0.228,0.365,-0.049,0.730,0.897,0.280,0.466,0.286,0.672,0.740,0.740,0.992,0.743,0.665,0.596,0.711,1.157,0.659,0.537,0.729,0.782,0.872,1.395,1.105,1.265,1.350
Denmark,1.845,0.673,1.418,0.187,1.118,0.771,-0.627,0.922,0.772,1.435,1.845,0.773,1.547,1.069,1.044,1.163,1.727,1.882,1.775,1.171,-0.610,1.440,0.761,0.843,2.522,1.803,1.665,1.553,2.114,2.209
Djibouti,0.550,0.568,0.604,0.160,0.389,0.795,0.727,0.704,0.896,0.482,0.897,0.877,1.552,1.112,1.068,1.192,1.041,0.864,0.402,1.718,1.043,1.044,1.536,1.193,1.157,1.840,1.492,1.596,1.092,1.458
Dominica,0.233,0.167,0.037,0.247,0.322,0.528,0.176,0.560,0.891,0.250,0.111,0.456,0.499,0.404,0.385,0.764,0.630,0.643,0.234,0.554,1.121,0.568,0.725,0.726,0.680,0.993,1.065,0.827,0.543,0.809
Dominican Republic,0.544,0.312,0.420,0.460,0.794,0.866,0.651,1.354,1.376,0.765,0.808,0.832,1.022,1.170,0.763,0.902,1.170,1.100,0.600,0.809,1.242,0.786,0.913,1.182,1.076,1.415,1.253,1.107,1.109,1.530
Eastern Africa,0.384,0.254,0.526,0.216,0.341,0.622,0.466,0.531,0.731,0.265,0.447,0.585,0.770,0.870,0.586,1.074,0.763,0.743,0.654,1.016,1.205,0.981,1.009,0.922,1.002,1.408,1.316,1.269,1.021,1.501
Eastern Asia,0.939,0.496,0.279,0.219,0.894,0.628,0.265,0.849,1.491,1.226,0.596,0.976,1.217,0.861,1.243,0.834,1.372,1.735,1.135,1.203,0.908,0.736,0.473,1.225,1.069,1.529,1.444,1.567,1.346,1.568
Eastern Europe,1.164,0.590,0.552,0.694,0.613,2.142,0.595,1.034,0.218,0.677,1.009,0.948,1.337,1.500,0.986,1.802,0.737,2.424,2.106,0.909,0.977,1.933,1.535,1.684,1.560,2.325,2.126,2.309,1.832,2.402
Ecuador,0.493,0.486,0.750,0.529,0.376,0.682,0.023,1.202,1.165,0.255,0.289,0.549,0.821,0.831,0.842,0.794,0.828,0.754,0.702,1.088,1.022,0.857,0.711,0.743,0.995,1.435,1.420,1.095,0.890,1.373
Egypt,0.057,-0.061,-0.559,0.254,0.213,0.138,0.326,-0.153,0.690,0.776,-0.038,0.605,0.808,0.599,0.589,0.574,0.452,0.585,0.945,0.832,2.289,0.399,0.929,0.929,1.293,0.975,1.196,0.780,1.823,0.994
